nome,codigo
Caiuá Serviço de Eletricidade,1
CEA Amapá,2
CEAL Alagoas,3
Neoenergia Brasília/DF,5
CEEE Rio Grande do Sul,6
Energisa Borborema,7
CELG Goiás,9
CELPA Pará,10
CELPE Pernambuco,11
CEMAR Maranhão,13
Energisa Mato Grosso Dist. de Energia,14
CERIPA,18
Ampla Energia e Serviços,19
CERON Rondônia,20
ELEKTRO Eletricidade e Serviços,22
Energisa Minas Gerais,24
Energia Sul Sudeste Distr. de Energia,25
CPFL Mococa,26
CPFL Santa Cruz,27
Energia Sul Sudeste Distr. de Energia,28
COCEL Cia Campolarguense de Energia,29
COELBA Bahia,30
COELCE Ceará,31
COSERN Rio Grande do Sul,38
CPFL Leste Paulista,39
CPFL Cia Paulista de Força e Luz,40
Energia Sul Sudeste Distr. de Energia,42
Emp. de Elet. Vale do Paranapanema,43
ELETROACRE,45
ELETROCAR,46
Manaus Energia,47
AES Eletropaulo,48
Energisa Sergipe,49
Energisa Mato Grosso do Sul Dist. de Energia,50
ESCELSA Espírito Santo,51
CPFL Jaguari,52
Light Serviços de Eletricidade,53
Energisa Paraíba,54
CPFL Sul Paulista,55
CEG - Cia Estadual de Gás,56
Comgas Cia de Gás de SP,57
Coop. Eletr. Rural de Mogi Mirim,61
Hidroel Panambi,66
DEMEI - Ijuí,67
DCELT Distribuidora Catarinense,68
CERMC,72
Bandeirante Energia,73
Boa Vista Energia Roraima,75
Compagás,77
Carmeso,80
RGE Sul Distribuidora de Energia,86
Rio Grande Energia,89
Cooperativa Mista Pioneira,95
Cooperativa Regional de Energia e Desenvolvimento,97
CEG Rio,100
CERIS,109
Cia Piratininga de Força e Luz,110
COPEL Distribuição,111
Gas Natural São Paulo Sul,116
Cooperativa de Energização,119
Gas Brasilizano Distribuidora,123
Coop. Eletr. Rural de São José do Rio Preto,125
BahiaGas,127
Ultragaz,137
CEMIG Distribuição,138
Energisa Minas Gerais FIDC,145
Energisa Nova Friburgo FIDC,146
Energisa Borborema FIDC,147
Energisa Sergipe FIDC,148
Energisa Paraíba FIDC,149
Energisa Mato Grosso Dist. de Energia,154
Energia Sul Sudeste Distr. de Energia,155
Energisa Mato Grosso Dist. de Energia,159
CELPA Pará FIDC,160
CELESC Santa Catarina,162
Liquigas Distribuidora,178
Cooperativa de Eletrificação de Ibiuna,185
Supergasbras Energia,192
Minasgas,197
Energisa Mato Grosso do Sul Dist. de Energia,199
CEDRAP,211
Gasmig,212
Coop. Eletr. Rural de Nono Horizonte,215
CEDRI,216
Lumen Engenharia Solar,217
Consigaz,221
Propangas,222
Gasball,223
