nome,codigo
Brasil Telecom (RS),2
Algar Telecom,4
Brasil Telecom (Pelotas/RS),5
Embratel,6
Sercomtel,7
Brasil Telecom (AC),11
Telemar (BA) - Teleba,13
Brasil Telecom (DF),14
Brasil Telecom (GO),16
Brasil Telecom (MT),17
Telemar (MG) - Telemig,18
Brasil Telecom (MS),19
Brasil Telecom (PR),20
Telemar (RJ),24
Telemar (RN),25
Brasil Telecom (RO),26
Brasil Telecom (SC),27
Vivo (BA),41
Vivo (SE),42
Vivo (GO),44
Vivo (DF),47
Vivo (RJ),48
Vivo (MS),49
Vivo (AC),53
Vivo (MT),55
Vivo (RO),58
Vivo (ES),60
Vivo (MG),64
Algar Celular,66
Vivo (PR/SC),69
EBT Livre,71
Vivo (PA),72
Vivo (AM),73
Vivo (MA),74
Vivo (RR),75
Vivo (AP),76
TIM,77
Vivo (RS),79
Vivo (SP),80
Vivo (TO),81
Vivo Fixo Nacional,82
Vivo Empresas,84
Claro Nextel,89
Copel Telecomunicações,106
TMais,108
TIM,109
Oi - TNL PCS (RJ),113
IDT Brasil Telecomunicações,114
Claro (RJ),158
Claro (SP),159
Claro (DF),160
Claro (RS),161
Claro (SP),162
Claro (SC),163
Claro (BA),165
Pegasus Telecom,166
Telemar,212
Claro (Norte),221
Algar Multimídia,284
Vivo (PB),290
Vivo (AL),291
Vivo (PE),292
Vivo (CE),293
Vivo (PI),294
Vivo (RN),295
Net Serviços de Comunicação,296
Claro,297
Claro TV,305
Brasil Telecom Celular,313
TNL PCS,369
Porto Conecta,402
Coprel Telecom,405
Prestação de Serviço de Arrecadação,423
Algar Soluções em TIC,464
Valenet,469
Você Telecom,470
Smart Telecom,478
Telefônica Cloud,493
Telefônica IOT,497
Vivo Fixo (SP),1029
