id,nome,cnpj_base
001,Banco do Brasil S.A.,00000000
003,Banco da Amazonia S.A.,04902979
004,Banco do Nordeste do Brasil S.A.,07237373
007,Banco Nacional de Desenvolvimento Economico e Social,33657248
010,Credicoamo Crédito Rural Cooperativa,81723108
011,Credit Suisse Hedging-Griffo Corretora de Valores S.A,61809182
012,Banco Inbursa S.A.,04866275
014,State Street Brasil S.A. - Banco Comercial,09274232
015,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02819125
016,Cooperativa de Crédito Mutuo dos Despachantes de Trânsito de Santa Catarina e Rio Grande do Sul,04715685
017,BNY Mellon Banco S.A.,42272526
018,Banco Tricury S.A.,57839805
021,Banestes S.A. Banco do Estado do Espirito Santo,28127603
024,Banco Bandepe S.A.,10866788
025,Banco Alfa S.A.,03323840
029,Banco Itaú Consignado S.A.,33885724
033,Banco Santander (Brasil) S.A.,90400888
036,Banco Bradesco BBI S.A.,06271464
037,Banco do Estado do Pará S.A.,04913711
040,Banco Cargill S.A.,03609817
041,Banco do Estado do Rio Grande do Sul S.A.,92702067
047,Banco do Estado de Sergipe S.A.,13009717
060,Confidence Corretora de Câmbio S.A.,04913129
062,Hipercard Banco Múltiplo S.A.,03012230
063,Banco Bradescard S.A.,04184779
064,Goldman Sachs do Brasil Banco Multiplo S.A.,04332281
065,Banco Andbank (Brasil) S.A.,48795256
066,Banco Morgan Stanley S.A.,02801938
069,Banco Crefisa S.A.,61033106
070,BRB - Banco de Brasilia S.A.,00000208
074,Banco J. Safra S.A.,03017677
075,Banco ABN AMRO S.A.,03532415
076,Banco KDB do Brasil S.A.,07656500
077,Banco Inter S.A.,00416968
078,Haitong Banco de Investimento do Brasil S.A.,34111187
079,Banco Original do Agronegócio S.A.,09516419
080,B&T Corretora de Câmbio Ltda,73622748
081,BancoSeguro S.A.,10264663
082,Banco Topázio S.A.,07679404
083,Banco da China Brasil S.A.,10690848
084,Uniprime Norte do Paraná - Cooperativa de Economia e Crédito Mútuo dos Médicos,02398976
085,Cooperativa Central de Crédito - Ailos,05463212
088,Banco Randon S.A.,11476673
089,Credisan Cooperativa de Crédito,62109566
091,Central de Cooperativas de Economia e Crédito Mútuo do Estado do Rio Grande do Sul,01634601
092,"BRK S.A. Crédito, Financiamento e Investimento",12865507
094,Banco Finaxis S.A.,11758741
095,Travelex Banco de Câmbio S.A.,11703662
096,Banco B3 S.A.,00997185
097,Credisis - Central de Cooperativas de Crédito Ltda,04632856
098,Credialiança Cooperativa de Crédito Rural,78157146
099,Uniprime Central - Central Interestadual de Cooperativas de Crédito Ltda,03046391
100,Planner Corretora de Valores S.A.,00806535
101,Renascença Distribuidora de Títulos e Valores Mobiliários Ltda,62287735
102,"XP Investimentos Corretora de Câmbio,Títulos de Valores Mobiliários S.A.",02332886
104,Caixa Econômica Federal,00360305
105,Lecca Crédito,07652226
107,Banco Bocom BBM S.A.,15114366
108,"PortoCred S.A. Crédito, Financiamento e Investimento",01800019
111,Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.,36113876
113,Magliano S.A. Corretora de Câmbio e Valores Mobiliários,61723847
114,Central Cooperativa de Crédito no Estado do Espírito Santo - Cecoop,05790149
117,Advanced Corretora de Câmbio Ltda,92856905
119,Banco Western Union do Brasil S.A.,13720915
120,Banco Rodobens S.A.,33603457
121,Banco Agibank S.A.,10664513
122,Banco Bradesco Berj S.A.,33147315
124,Banco Woori Bank do Brasil S.A.,15357060
125,Plural S.A. Banco Múltiplo,45246410
126,Br Partners Banco de Investimento S.A.,13220493
127,Codepe Corretora de Valores e Câmbio S.A.,09512542
128,MS Bank S.A. Banco de Câmbio,19307785
129,UBS Brasil Banco de Investimento S.A.,18520834
130,Caruana S.A. - Sociedade de Crédito,09313766
131,Tullett Prebon Brasil Corretora de Valores e Câmbio Ltda,61747085
132,ICBC do Brasil Banco Múltiplo S.A.,17453575
133,Banco Cresol - Confederação Nacional das Cooperativas Centrais de Crédito e Economia Familiar e Solidária,10398952
134,BGC Liquidez Distribuidora de Títulos e Valores Mobiliários Ltda,33862244
136,Unicred do Brasil - Confederação Nacional das Cooperativas Centrais Unicred Ltda,00315557
138,Get Money Corretora de Câmbio S.A.,10853017
139,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,55230916
140,Easynvest - Título Corretora de Valores S.A.,62169875
142,Broker Brasil Corretora de Câmbio Ltda,16944141
143,Treviso Corretora de Câmbio S.A.,02992317
144,Bexs Banco de Câmbio S.A.,13059145
145,Levycam - Corretora de Câmbio e Valores Ltda,50579044
146,Guitta Corretora de Câmbio Ltda,24074692
149,Facta Financeira S.A. - Crédito Financiamento e Investimento,15581638
157,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda,09105360
159,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor,05442029
